"ID","INGREDIENTS","CATEGORY","QUANTITY","UNIT","SUPPLIER_ID"
1,"Barbecued Chicken","Meat & Protein",45,"kg",100
2,"Red Peppers","Vegetables",36,"kg",101
3,"Green Peppers","Vegetables",11,"kg",101
4,"Tomatoes","Vegetables",39,"kg",101
5,"Red Onions","Vegetables",20,"kg",101
6,"Barbecue Sauce","Sauces & Seasonings",25,"l",102
7,"Chicken","Meat & Protein",23,"kg",100
8,"Artichokes","Vegetables",14,"kg",101
9,"Spinach","Vegetables",29,"kg",101
10,"Garlic","Vegetables",26,"kg",101
11,"Jalapeno Peppers","Vegetables",31,"kg",101
12,"Fontina Cheese","Dairy & Cheese",18,"kg",103
13,"Gouda Cheese","Dairy & Cheese",35,"kg",103
14,"Mushrooms","Vegetables",14,"kg",101
15,"Asiago Cheese","Dairy & Cheese",45,"kg",103
16,"Alfredo Sauce","Sauces & Seasonings",29,"kg",102
17,"Pesto Sauce","Sauces & Seasonings",27,"kg",102
18,"Corn","Vegetables",19,"kg",101
19,"Cilantro","Vegetables",11,"kg",101
20,"Chipotle Sauce","Sauces & Seasonings",8,"kg",102
21,"Pineapple","Fruits",20,"kg",104
22,"Bacon","Meat & Protein",6,"kg",100
23,"Pepperoni","Meat & Protein",9,"kg",100
24,"Italian Sausage","Meat & Protein",8,"kg",100
25,"Chorizo Sausage","Meat & Protein",7,"kg",100
26,"Sliced Ham","Meat & Protein",7,"kg",100
27,"Mozzarella cheese","Dairy & Cheese",11,"kg",103
28,"Capocollo","Meat & Protein",8,"kg",100
29,"Goat Cheese","Dairy & Cheese",11,"kg",103
30,"Oregano","Sauces & Seasonings",29,"kg",102
31,"Anchovies","Meat & Protein",9,"kg",100
32,"Green Olives","Vegetables",15,"kg",101
33,"Kalamata Olives","Vegetables",18,"kg",101
34,"Feta Cheese","Dairy & Cheese",15,"kg",103
35,"Beef Chuck Roast","Meat & Protein",8,"kg",100
36,"Brie Carre Cheese","Dairy & Cheese",9,"kg",103
37,"Prosciutto","Meat & Protein",9,"kg",100
39,"Pears","Fruits",8,"kg",104
40,"Thyme","Sauces & Seasonings",28,"kg",102
41,"‘Nduja Salami","Meat & Protein",8,"kg",100
42,"Pancetta","Meat & Protein",7,"kg",100
43,"Friggitello Peppers","Vegetables",16,"kg",101
44,"Calabrese Salami","Meat & Protein",9,"kg",100
45,"Genoa Salami","Meat & Protein",8,"kg",100
46,"Prosciutto di San Daniele","Meat & Protein",9,"kg",100
47,"Arugula","Vegetables",18,"kg",101
48,"Coarse Sicilian Salami","Meat & Protein",9,"kg",100
49,"Luganega Sausage","Meat & Protein",9,"kg",100
50,"Soppressata Salami","Meat & Protein",9,"kg",100
51,"Romano Cheese","Dairy & Cheese",14,"kg",103
52,"Blue Cheese","Dairy & Cheese",12,"kg",103
53,"Gorgonzola Piccante Cheese","Dairy & Cheese",14,"kg",103
54,"Ricotta Cheese","Dairy & Cheese",11,"kg",103
55,"Smoked Gouda Cheese","Dairy & Cheese",12,"kg",103
56,"Parmigiano Reggiano Cheese","Dairy & Cheese",13,"kg",103
57,"Provolone Cheese","Dairy & Cheese",12,"kg",103
58,"Sun-dried Tomatoes","Vegetables",17,"kg",101
59,"Chocolate Chips","Breads & Grains",19,"kg",105
60,"Flour","Breads & Grains",78,"kg",105
61,"Brown Sugar","Breads & Grains",95,"kg",105
62,"Vanilla","Syrup",30,"l",106
63,"Egg","Meat & Protein",70,"case",100
64,"White Chocolate","Syrup",47,"l",106
65,"Caramel","Syrup",19,"l",106
66,"Raspberries","Fruits",7,"kg",104
67,"Whipping Cream","Dairy & Cheese",36,"l",103
68,"Orange","Fruits",43,"kg",104
69,"Sugar","Breads & Grains",49,"kg",105
70,"Small Water","Beverages",27,"case",107
71,"Pepsi 1 Liter","Beverages",65,"case",107
72,"Pepsi Can 330ml","Beverages",18,"case",107
73,"Diet Pepsi 1  Liter","Beverages",50,"case",107
74,"Diet Pepsi Can 330ml","Beverages",70,"case",107
75,"Mirinda 1  Liter","Beverages",12,"case",107
76,"Mirinda Can 330ml","Beverages",45,"case",107
77,"7UP 1  Liter","Beverages",23,"case",107
78,"7UP Can 330ml","Beverages",67,"case",107
79,"Diet 7UP 1  Liter","Beverages",88,"case",107
80,"Diet 7UP Can 330ml","Beverages",39,"case",107
81,"Ranch Sauce","Sauces & Seasonings",52,"l",102
82,"Honey Mustard Sauce","Sauces & Seasonings",28,"l",102
83,"Thai Chili Sauce","Sauces & Seasonings",38,"l",102
84,"Cheese Fondue Sauce","Sauces & Seasonings",47,"l",102
85,"Small Toly toilet tissue","Cleaning supplies",200,"unit",108
86,"Pulling tissues","Cleaning supplies",400,"case",108
87,"Printed table napkins","Cleaning supplies",500,"case",108
88,"Squeegee","Cleaning supplies",0,"unit",108
89,"Glass squeegee","Cleaning supplies",2,"unit",108
90,"Mop","Cleaning supplies",1,"unit",108
91,"Wire sponge","Cleaning supplies",150,"unit",108
92,"Plastic sponge","Cleaning supplies",80,"unit",108
93,"Cotton swab","Cleaning supplies",8,"unit",108
94,"Towel","Cleaning supplies",60,"unit",108
95,"Floor towel","Cleaning supplies",55,"unit",108
96,"Mask","Cleaning supplies",300,"unit",108
97,"Floor freshener","Cleaning supplies",120,"l",108
98,"Hand wash","Cleaning supplies",100,"l",108
99,"Glass cleaner","Cleaning supplies",25,"kg",108
100,"Degreaser gallon","Cleaning supplies",80,"l",108
101,"Salt remover gallon","Cleaning supplies",0,"l",108
102,"Salt remover","Cleaning supplies",35,"Bottle",108
103,"Persol","Cleaning supplies",85,"Bottle",108
104,"Liquid soap","Cleaning supplies",450,"kg",108
105,"Stainless steel polish","Cleaning supplies",0,"Bottle",108
106,"Wood polish","Cleaning supplies",22,"Bottle",108
107,"Large clear garbage bags","Cleaning supplies",36,"kg",108
108,"Garbage bags","Cleaning supplies",360,"kg",108
109,"Dettol disinfectant","Cleaning supplies",163,"kg",108
110,"Oven cleaner","Cleaning supplies",0,"kg",108
111,"Hand gel","Cleaning supplies",20,"Bottle",108
112,"Bleach","Cleaning supplies",26,"kg",108
113,"Incense","Cleaning supplies",20,"case",108
114,"Glass polishing cloth","Cleaning supplies",60,"unit",108
115,"Metal squeegee stick","Cleaning supplies",5,"unit",108
116,"Insect repellent","Cleaning supplies",10,"case",108
117,"Potassium","Cleaning supplies",6,"unit",108
118,"Medical gloves","Cleaning supplies",0,"unit",108
119,"Cockroach killer","Cleaning supplies",4,"case",108
120,"Zucchini","Vegetables",20,"Kg",101
121,"Onions","Vegetables",39,"Kg",101
122,"Eggplant","Vegetables",20,"Kg",101
123,"Parmesan cheese","Dairy & Cheese",11,"Kg",103
124,"Pasta","Breads & Grains",49,"Kg",105
125,"Potato","Vegetables",39,"Kg",101
126,"Italian bread","Breads & Grains",30,"unit",105
127,"Olive Oil","Sauces & Seasonings",50,"l",102
128,"Nuggets","Meat & Protein",23,"Kg",100
129,"Chicken Wings","Meat & Protein",23,"Kg",100
130,"Chocolate Sauce","Syrup",47,"l",106
